ATOM.EXE-823CA5D7.pf,12/14/2017 8:07:41 AM,1/10/2018 7:18:04 AM,"44,081",ATOM.EXE,C:\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.1\ATOM.EXE,15,"1/10/2018 7:17:57 AM, 1/3/2018 7:18:51 AM, 1/2/2018 7:13:19 AM, 12/29/2017 8:24:15 AM, 12/29/2017 8:24:11 AM, 12/29/2017 8:24:20 AM, 12/28/2017 7:28:56 AM, 12/28/2017 7:28:46 AM",Yes
ATOM.EXE-823CA5D9.pf,1/10/2018 7:18:04 AM,1/10/2018 7:18:04 AM,"1,672",ATOM.EXE,C:\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.1\ATOM.EXE,1,1/10/2018 7:18:04 AM,Yes
ATOM.EXE-9035D53A.pf,12/13/2017 7:35:34 AM,1/3/2018 7:23:42 AM,"42,432",ATOM.EXE,C:\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.23.0\ATOM.EXE,6,"1/3/2018 7:23:33 AM, 12/14/2017 8:04:33 AM, 12/14/2017 8:04:21 AM, 12/14/2017 8:04:15 AM, 12/14/2017 8:04:25 AM, 12/13/2017 7:35:24 AM",Yes
ATOM.EXE-CCC90A0A.pf,12/7/2017 8:38:32 AM,12/14/2017 8:07:46 AM,"40,266",ATOM.EXE,C:\USERS\STRATARXIS\APPDATA\LOCAL\ATOM\APP-1.22.1\ATOM.EXE,21,"12/14/2017 8:07:42 AM, 12/13/2017 7:31:49 AM, 12/13/2017 7:31:45 AM, 12/13/2017 7:31:53 AM, 12/12/2017 7:27:07 AM, 12/11/2017 7:16:39 AM, 12/11/2017 7:16:36 AM, 12/11/2017 7:16:42 AM",Yes
ATTRIB.EXE-73917FEA.pf,1/5/2018 9:48:20 AM,1/5/2018 9:48:23 AM,"2,361",ATTRIB.EXE,C:\Windows\SysWOW64\attrib.exe,4,"1/5/2018 9:48:23 AM, 1/5/2018 9:48:23 AM, 1/5/2018 9:48:23 AM, 1/5/2018 9:48:20 AM",No
BACKGROUNDTASKHOST.EXE-47A701FF.pf,12/7/2017 9:13:28 AM,1/12/2018 10:06:55 AM,"14,273",BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,70,"1/12/2018 10:06:45 AM, 1/10/2018 2:19:10 PM, 1/10/2018 1:25:21 PM, 1/10/2018 12:47:23 PM, 1/10/2018 11:58:39 AM, 1/10/2018 11:47:44 AM, 1/10/2018 8:06:13 AM, 1/10/2018 7:21:04 AM",No
BACKGROUNDTASKHOST.EXE-BD5D5DB4.pf,12/7/2017 9:01:18 AM,1/12/2018 9:33:18 AM,"11,986",BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,22,"1/12/2018 9:33:18 AM, 1/12/2018 7:36:28 AM, 1/10/2018 2:19:04 PM, 1/10/2018 7:11:26 AM, 1/9/2018 7:24:48 AM, 1/8/2018 7:38:41 AM, 1/8/2018 7:19:37 AM, 1/5/2018 7:37:35 AM",No
BASH.EXE-19B18FA1.pf,1/5/2018 9:52:46 AM,1/5/2018 9:52:46 AM,"4,478",BASH.EXE,C:\cygwin64\bin\bash.exe,11,"1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:46 AM, 1/5/2018 9:52:45 AM",No
BASH.EXE-3BB92EAF.pf,1/4/2018 12:15:09 PM,1/10/2018 2:31:10 PM,"5,389",BASH.EXE,C:\PROGRAM FILES\Git\usr\bin\bash.exe,30,"1/10/2018 2:31:10 PM, 1/10/2018 2:27:44 PM, 1/10/2018 2:24:13 PM, 1/10/2018 2:19:09 PM, 1/10/2018 2:19:09 PM, 1/8/2018 10:18:28 AM, 1/8/2018 10:18:28 AM, 1/5/2018 10:15:31 AM",No
BCASTDVR.EXE-82355E7D.pf,1/9/2018 10:59:55 AM,1/12/2018 8:55:33 AM,"13,832",BCASTDVR.EXE,C:\Windows\System32\bcastdvr.exe,52,"1/12/2018 8:55:23 AM, 1/12/2018 8:47:05 AM, 1/12/2018 8:41:56 AM, 1/12/2018 8:32:13 AM, 1/12/2018 8:23:35 AM, 1/10/2018 2:46:05 PM, 1/10/2018 2:40:00 PM, 1/10/2018 2:33:08 PM",No
BROWSER_BROKER.EXE-E6357BB0.pf,12/7/2017 8:28:10 AM,1/12/2018 7:35:36 AM,"7,867",BROWSER_BROKER.EXE,C:\WINDOWS\SYSTEM32\BROWSER_BROKER.EXE,21,"1/12/2018 7:35:25 AM, 1/10/2018 7:09:52 AM, 1/9/2018 7:24:35 AM, 1/8/2018 7:20:48 AM, 1/5/2018 7:37:56 AM, 1/4/2018 2:53:10 PM, 1/4/2018 11:44:20 AM, 1/4/2018 7:18:54 AM",Yes
CAT.EXE-3041221B.pf,1/5/2018 9:52:11 AM,1/5/2018 9:52:21 AM,"1,921",CAT.EXE,C:\cygwin64\bin\cat.exe,10,"1/5/2018 9:52:20 AM, 1/5/2018 9:52:19 AM, 1/5/2018 9:52:18 AM, 1/5/2018 9:52:17 AM, 1/5/2018 9:52:16 AM, 1/5/2018 9:52:15 AM, 1/5/2018 9:52:14 AM, 1/5/2018 9:52:13 AM",No
