20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ghostdragon_gh0st_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_glassRAT.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_golddragon.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_greenbug.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_grizzlybear_uscert.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hackingteam_rules.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ham_tofu_chches.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hatman.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hellsing_kaspersky.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hidden_cobra.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hiddencobra_bankshot.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hiddencobra_wiper.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hizor_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_hkdoor.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_icefog.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_indetectables_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_industroyer.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_inocnation.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_irongate.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_irontiger.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_irontiger_trendmicro.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ism_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_kaspersky_duqu2.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_keyboys.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_keylogger_cn.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_khrat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_korplug_fast.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_kwampirs.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_laudanum_webshells.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_lazarus_dec17.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_lazarus_jun18.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_leviathan.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_lotusblossom_elise.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_magichound.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_microcin.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_middle_east_talosreport.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_miniasp.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_minidionis.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_mofang.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_molerats_jul17.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_monsoon.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_moonlightmaze.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ms_platinum.yara
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_muddywater.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_naikon.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_nanocore_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ncsc_report_04_2018.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_netwire_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_oilrig.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_oilrig_chafer_mar18.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_oilrig_oct17.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_oilrig_rgdoor.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_olympic_destroyer.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_onhat_proxy.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_op_cleaver.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_op_cloudhopper.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_op_honeybee.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_passcv.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_passthehashtoolkit.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_plugx.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_poisonivy.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_poisonivy_gen3.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_poseidon_group.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_poshspy.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_prikormka.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_project_m.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_project_sauron.yara
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_project_sauron_extras.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_promethium_neodymium.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_putterpanda.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_quarkspwdump.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_quasar_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_quasar_vermin.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_reaver_sunorcal.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_rehashed_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_revenge_rat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_rocketkitten_keylogger.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_rokrat.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_ruag.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_rwmc_powershell_creddump.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sakula.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_saudi_aramco_phish.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_scanbox_deeppanda.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_scarcruft.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_seaduke_unit42.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sednit_delphidownloader.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_servantshell.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_shadowpad.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_shamoon.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_shamoon2.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_shellcrew_streamex.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_silence.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_skeletonkey.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_slingshot.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_snaketurla_osx.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_snowglobe_babar.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_dec15.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_fysbis.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_hospitality.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_jun16.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_oct17_camp.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sofacy_xtunnel_bundestag.yar
20180605T16:42:28Z IE11WIN7 LOKI: Info: New signature file: apt_sphinx_moth.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_stonedrill.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_strider.yara
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_stuxnet.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_suckfly.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_sysscan.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta17_293A.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta17_318A.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta17_318B.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta18_074A.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta18_149A.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_ta459.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_telebots.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_terracotta.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_terracotta_liudoor.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_threatgroup_3390.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_tick_datper.yar
20180605T16:42:29Z IE11WIN7 LOKI: Info: New signature file: apt_tidepool.yar
